province,REF_DATE,uom_houseindex,scalar_houseindex,avg_house_only,avg_land_only,avg_totalhouseland,uom_income,scalar_income,statistic_income,avg_income,uom_expenditure,scalar_expenditure,statistic_expenditure,avg_food_expenditures,avg_income_taxes,avg_mortageinsurance,avg_mortagePaid,avg_accomodation,avg_rent,avg_shelter,avg_total_expenditure,avg_taxes_landregfees,uom_tourist,scalar_tourist,avg_international_tourism,avg_domestic_tourism,uom_labourforce,scalar_labourforce,statistic_labourforce,avg_employment,avg_fulltime,avg_labourforce,avg_parttime,avg_population,avg_unemployment,uom_lfperc,scalar_lfperc,statistic_labourforceperc,avg_employment_rate,avg_participationrate,avg_unemploymentrate,uom_crime,scalar_crime,statistic_crime,avg_crime_incidents
Alberta,1985-08,"Index, 201612=100",units,27.65,22.200000000000003,26.1,,,,,,,,,,,,,,,,,Persons,unit,101139.0,213288.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",737.8666381835938,613.0,811.9000244140625,124.8499984741211,1094.316650390625,74.05000305175781,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.88333511352539,69.5,9.433333396911621,,,,
Alberta,1985-06,"Index, 201612=100",units,27.25,21.799999999999997,25.7,,,,,,,,,,,,,,,,,Persons,unit,67068.0,157327.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",732.6666870117188,611.7666625976562,808.0166625976562,120.91666412353516,1093.5167236328125,75.33333587646484,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",62.516666412353516,69.26667022705078,9.516666412353516,,,,
Nova Scotia,2000-12,"Index, 201612=100",units,65.3,67.3,65.8,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,6427.0,18570.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",265.0833435058594,219.93333435058594,290.70001220703125,45.13333511352539,453.8833312988281,25.649999618530273,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.63333511352539,60.349998474121094,8.983333587646484,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-03,"Index, 201612=100",units,63.4,66.4,64.1,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,21887.0,31987.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.79998779296875,214.89999389648438,287.9333190917969,48.88333511352539,452.0,24.149999618530273,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.46666717529297,59.93333435058594,8.600000381469727,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-04,"Index, 201612=100",units,64.3,67.3,65.0,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,27105.0,40501.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",264.23333740234375,218.03334045410156,287.7833251953125,46.16666793823242,452.1166687011719,23.566667556762695,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.45000076293945,59.81666564941406,8.766666412353516,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-10,"Index, 201612=100",units,64.5,67.3,65.1,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,11747.0,53672.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",261.1666564941406,216.56666564941406,286.98333740234375,44.56666564941406,453.51666259765625,25.83333396911621,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.43333435058594,59.46666717529297,9.866666793823242,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-09,"Index, 201612=100",units,64.1,67.3,64.8,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,12030.0,93183.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",261.8500061035156,213.6999969482422,288.26666259765625,48.16666793823242,453.29998779296875,26.41666603088379,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.733333587646484,59.70000076293945,10.183333396911621,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-08,"Index, 201612=100",units,64.4,67.3,65.1,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,14183.0,117941.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",261.29998779296875,216.10000610351562,287.54998779296875,45.18333435058594,453.01666259765625,26.266666412353516,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.81666564941406,59.75,9.800000190734863,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-11,"Index, 201612=100",units,65.3,67.3,65.8,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,8224.0,20661.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",261.20001220703125,218.0500030517578,287.8166809082031,43.150001525878906,453.70001220703125,26.616666793823242,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.599998474121094,59.68333435058594,10.016666412353516,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-06,"Index, 201612=100",units,64.3,67.3,65.0,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,12556.0,79445.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.5,218.36666870117188,287.4166564941406,45.150001525878906,452.4666748046875,23.91666603088379,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.11666488647461,59.5,9.216666221618652,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-05,"Index, 201612=100",units,64.3,67.3,65.0,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,21385.0,55361.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",262.8833312988281,216.3333282470703,286.98333740234375,46.56666564941406,452.3333435058594,24.08333396911621,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.016666412353516,59.516666412353516,9.199999809265137,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-02,"Index, 201612=100",units,63.4,66.4,64.1,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,11467.0,20229.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",262.54998779296875,215.31666564941406,289.26666259765625,47.233333587646484,451.76666259765625,26.71666717529297,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.150001525878906,60.04999923706055,9.533333778381348,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-01,"Index, 201612=100",units,63.1,66.4,63.9,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,7995.0,16420.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.8333435058594,218.53334045410156,290.1666564941406,45.33333206176758,451.6666564941406,26.33333396911621,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.349998474121094,60.233333587646484,9.5,Number,unit,Total of all violations-Actual incidents,6455.92
Nova Scotia,2000-07,"Index, 201612=100",units,64.4,67.3,65.1,Dollars,units,"Median total income,Both sexes,All age groups",1575.0,,,,,,,,,,,,,Persons,unit,14162.0,109737.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.9666748046875,219.78334045410156,288.6666564941406,44.18333435058594,452.76666259765625,24.683332443237305,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.150001525878906,59.78333282470703,9.416666984558105,Number,unit,Total of all violations-Actual incidents,6455.92
Saskatchewan,1981-12,"Index, 201612=100",units,31.299999999999997,23.700000000000003,29.25,,,,,,,,,,,,,,,,,Persons,unit,23096.0,35758.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",267.8999938964844,217.3000030517578,280.26666259765625,50.599998474121094,427.79998779296875,12.383333206176758,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.266666412353516,63.20000076293945,4.416666507720947,,,,
Saskatchewan,1981-09,"Index, 201612=100",units,31.25,23.200000000000003,29.049999999999997,,,,,,,,,,,,,,,,,Persons,unit,33141.0,55778.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",267.98333740234375,217.8000030517578,280.45001220703125,50.18333435058594,426.4166564941406,12.449999809265137,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.45000076293945,63.43333435058594,4.550000190734863,,,,
Saskatchewan,1981-08,"Index, 201612=100",units,31.25,23.200000000000003,29.049999999999997,,,,,,,,,,,,,,,,,Persons,unit,49341.0,81534.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",267.9166564941406,221.1666717529297,278.6499938964844,46.766666412353516,425.7166748046875,10.733333587646484,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.5,63.150001525878906,4.066666603088379,,,,
Saskatchewan,1981-06,"Index, 201612=100",units,30.55,22.700000000000003,28.45,,,,,,,,,,,,,,,,,Persons,unit,33921.0,67658.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",265.23333740234375,218.18333435058594,276.29998779296875,47.04999923706055,424.6666564941406,11.050000190734863,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.11666488647461,62.86666488647461,4.150000095367432,,,,
Saskatchewan,1981-04,"Index, 201612=100",units,29.849999999999998,22.700000000000003,27.950000000000003,,,,,,,,,,,,,,,,,Persons,unit,35111.0,51048.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",266.8500061035156,218.6999969482422,277.8666687011719,48.20000076293945,423.5333251953125,11.016666412353516,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.68333435058594,63.38333511352539,4.0333333015441895,,,,
Saskatchewan,1981-10,"Index, 201612=100",units,31.299999999999997,23.200000000000003,29.049999999999997,,,,,,,,,,,,,,,,,Persons,unit,31642.0,49911.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",264.1499938964844,213.25,275.8833312988281,50.93333435058594,426.8999938964844,11.716666221618652,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.43333435058594,62.266666412353516,4.333333492279053,,,,
Saskatchewan,1981-05,"Index, 201612=100",units,30.400000000000002,22.700000000000003,28.349999999999998,,,,,,,,,,,,,,,,,Persons,unit,35015.0,57997.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",267.01666259765625,219.73333740234375,278.04998779296875,47.266666412353516,424.0666809082031,11.033333778381348,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.63333511352539,63.28333282470703,4.016666889190674,,,,
Saskatchewan,1981-01,"Index, 201612=100",units,28.25,21.35,26.4,,,,,,,,,,,,,,,,,Persons,unit,24076.0,36479.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.6666564941406,217.75,275.76666259765625,45.91666793823242,422.25,12.100000381469727,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.266666412353516,63.233333587646484,4.416666507720947,,,,
Saskatchewan,1981-07,"Index, 201612=100",units,31.150000000000002,22.8,28.9,,,,,,,,,,,,,,,,,Persons,unit,55703.0,94846.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",266.6166687011719,217.75,276.1666564941406,48.849998474121094,425.1166687011719,9.566666603088379,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.400001525878906,62.75,3.616666555404663,,,,
Saskatchewan,1981-11,"Index, 201612=100",units,31.299999999999997,23.700000000000003,29.2,,,,,,,,,,,,,,,,,Persons,unit,25930.0,39107.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",267.3666687011719,216.75,280.3333435058594,50.61666488647461,427.3166809082031,12.966666221618652,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.150001525878906,63.31666564941406,4.7166666984558105,,,,
Saskatchewan,1981-03,"Index, 201612=100",units,28.95,21.75,27.0,,,,,,,,,,,,,,,,,Persons,unit,30929.0,46072.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",264.98333740234375,219.21665954589844,276.95001220703125,45.78333282470703,423.1333312988281,12.0,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.43333435058594,63.33333206176758,4.316666603088379,,,,
Saskatchewan,1981-02,"Index, 201612=100",units,28.5,21.55,26.6,,,,,,,,,,,,,,,,,Persons,unit,22392.0,34409.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",263.1166687011719,217.31666564941406,276.7166748046875,45.79999923706055,422.6166687011719,13.583333015441895,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.08333206176758,63.33333206176758,4.900000095367432,,,,
Quebec,2008-12,"Index, 201612=100",units,91.33333333333333,84.03333333333333,88.90000000000002,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,395631.0,681682.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2474.0,2035.699951171875,2676.533447265625,438.29998779296875,3937.13330078125,202.51666259765625,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.81666564941406,65.25,8.399999618530273,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-08,"Index, 201612=100",units,91.10000000000001,82.63333333333333,88.3,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,948991.0,1466073.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2472.716552734375,2043.4666748046875,2666.166748046875,429.23333740234375,3921.7666015625,193.46665954589844,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.16666793823242,65.19999694824219,7.666666507720947,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-03,"Index, 201612=100",units,89.06666666666668,79.46666666666667,86.0,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,661238.0,932904.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2480.300048828125,2042.63330078125,2663.39990234375,437.6666564941406,3901.666748046875,183.10000610351562,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.56666564941406,65.4000015258789,7.383333206176758,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-07,"Index, 201612=100",units,90.36666666666667,81.36666666666667,87.5,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,773044.0,1273600.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2473.716552734375,2043.199951171875,2661.316650390625,430.51666259765625,3917.783447265625,187.5500030517578,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.28333282470703,65.18333435058594,7.366666793823242,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-05,"Index, 201612=100",units,90.13333333333333,81.33333333333333,87.3,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,540408.0,886813.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2469.666748046875,2043.0167236328125,2657.433349609375,426.6333312988281,3908.88330078125,187.73333740234375,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.13333511352539,65.16666412353516,7.7166666984558105,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-09,"Index, 201612=100",units,91.0,82.63333333333333,88.23333333333335,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,541037.0,916238.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2482.85009765625,2042.7667236328125,2672.466552734375,440.1000061035156,3926.166748046875,189.63333129882812,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.400001525878906,65.41666412353516,7.7833333015441895,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-01,"Index, 201612=100",units,88.73333333333333,77.96666666666667,85.3,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,566141.0,808766.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2487.300048828125,2046.9166259765625,2665.38330078125,440.3999938964844,3895.316650390625,178.06666564941406,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.70000076293945,65.4000015258789,7.116666793823242,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-10,"Index, 201612=100",units,91.03333333333335,82.63333333333333,88.26666666666665,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,486519.0,821939.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2480.183349609375,2035.0167236328125,2669.86669921875,445.20001220703125,3930.083251953125,189.68333435058594,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.233333587646484,65.30000305175781,7.833333492279053,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-04,"Index, 201612=100",units,88.96666666666665,80.63333333333334,86.26666666666665,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,552116.0,841018.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2468.449951171875,2041.699951171875,2660.449951171875,426.75,3905.566650390625,191.96665954589844,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.08333206176758,65.33333587646484,7.900000095367432,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-11,"Index, 201612=100",units,91.33333333333333,84.03333333333333,88.93333333333334,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,389055.0,630841.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2476.683349609375,2048.050048828125,2675.300048828125,428.6333312988281,3933.61669921875,198.63333129882812,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.04999923706055,65.38333129882812,8.233333587646484,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-02,"Index, 201612=100",units,89.13333333333333,79.46666666666667,86.0,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,464207.0,737549.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2487.2333984375,2053.89990234375,2671.666748046875,433.3666687011719,3898.2666015625,184.4499969482422,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.733333587646484,65.6500015258789,7.449999809265137,Number,unit,Total of all violations-Actual incidents,38431.25
Quebec,2008-06,"Index, 201612=100",units,90.3,81.36666666666667,87.43333333333334,Dollars,units,"Median total income,Both sexes,All age groups",2242.5,,,,,,,,,,,,,Persons,unit,551155.0,946631.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2475.949951171875,2043.61669921875,2662.666748046875,432.3333435058594,3913.39990234375,186.6999969482422,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.233333587646484,65.28333282470703,7.633333206176758,Number,unit,Total of all violations-Actual incidents,38431.25
Atlantic Region,2005-09,"Index, 201612=100",units,77.3,68.5,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-04,"Index, 201612=100",units,74.6,66.8,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-08,"Index, 201612=100",units,76.5,68.1,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-06,"Index, 201612=100",units,75.0,66.9,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-12,"Index, 201612=100",units,77.4,68.7,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-03,"Index, 201612=100",units,74.6,66.8,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-10,"Index, 201612=100",units,77.4,68.5,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-07,"Index, 201612=100",units,75.1,67.3,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-01,"Index, 201612=100",units,74.2,66.6,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-05,"Index, 201612=100",units,74.8,66.9,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-11,"Index, 201612=100",units,77.4,68.5,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Region,2005-02,"Index, 201612=100",units,74.6,66.6,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1982-06,"Index, 201612=100",units,38.1,39.5,39.3,,,,,,,,,,,,,,,,,Persons,unit,2857175.0,7017207.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4960.1220703125,5809.25,5572.72216796875,1026.6500244140625,8480.9111328125,612.6333618164062,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.46666717529297,62.24444580078125,12.166666984558105,,,,
Canada,1982-11,"Index, 201612=100",units,37.3,37.0,38.0,,,,,,,,,,,,,,,,,Persons,unit,2353873.0,4467017.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4882.83349609375,5684.88330078125,5602.64453125,1049.5833740234375,8528.2001953125,719.8110961914062,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.266666412353516,62.20000076293945,14.04444408416748,,,,
Canada,1982-05,"Index, 201612=100",units,38.1,40.1,39.6,,,,,,,,,,,,,,,,,Persons,unit,3135616.0,6503951.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4997.43310546875,5882.81689453125,5569.86669921875,1001.1166381835938,8468.56640625,572.4222412109375,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",55.03333282470703,62.31111145019531,11.38888931274414,,,,
Canada,1982-03,"Index, 201612=100",units,38.6,40.7,40.1,,,,,,,,,,,,,,,,,Persons,unit,2782050.0,4847348.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",5050.42236328125,5945.58349609375,5563.81103515625,1005.9666748046875,8448.85546875,513.388916015625,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",55.85555648803711,62.43333435058594,10.255555152893066,,,,
Canada,1982-02,"Index, 201612=100",units,38.9,40.6,40.3,,,,,,,,,,,,,,,,,Persons,unit,2122528.0,3940669.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",5062.388671875,5957.75,5554.1220703125,1007.4166870117188,8439.111328125,491.70001220703125,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",56.13333511352539,62.4555549621582,9.866666793823242,,,,
Canada,1982-09,"Index, 201612=100",units,37.6,37.5,38.4,,,,,,,,,,,,,,,,,Persons,unit,2956614.0,6593794.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4900.24462890625,5724.56689453125,5585.42236328125,1032.8333740234375,8510.1220703125,685.1777954101562,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.53333282470703,62.18888854980469,13.48888874053955,,,,
